resourceGroup,resourceType,policyDefinitionReferenceId,policyDefinitionId,ResourceName
,Microsoft.Resources/subscriptions,identityremoveexternalaccountwithwritepermissionsmonitoringnew,/providers/microsoft.authorization/policydefinitions/94e1c2ac-cbbe-4cac-a2b5-389c812dee87,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,identityremoveexternalaccountwithownerpermissionsmonitoringnew,/providers/microsoft.authorization/policydefinitions/339353f6-2387-4a45-abe4-7f529d121046,220b7d6b-779f-47ec-b306-499ebfdf2dbe
rgrp-lta-bmms-uat-deployment,Microsoft.Network/virtualNetworks,azurefirewalleffect,/providers/microsoft.authorization/policydefinitions/fc5e4038-4584-4632-8c85-c0448d374b2c,vm-linux-deployment-vnet
bmms-dev,Microsoft.Network/virtualNetworks,azurefirewalleffect,/providers/microsoft.authorization/policydefinitions/fc5e4038-4584-4632-8c85-c0448d374b2c,bmms-dev-vnet
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,authenticationtolinuxmachinesshouldrequiresshkeysmonitoringeffect,/providers/microsoft.authorization/policydefinitions/630c64f9-8b6b-4c64-b511-6544ceff6fd6,vm-linux-deployment
rgrp-lta-bmms-uat-04,Microsoft.Network/virtualNetworks,vnetenableddosprotectionmonitoring,/providers/microsoft.authorization/policydefinitions/a7aca53f-2ed4-4466-a25e-0b45ade68efd,cmt-lta-bmms-uat-common-01
bmms-arm,Microsoft.Network/virtualNetworks,azurefirewalleffect,/providers/microsoft.authorization/policydefinitions/fc5e4038-4584-4632-8c85-c0448d374b2c,bmms-arm-vnet
rgrp-lta-bmms-uat-04,Microsoft.Network/virtualNetworks,vnetenableddosprotectionmonitoring,/providers/microsoft.authorization/policydefinitions/a7aca53f-2ed4-4466-a25e-0b45ade68efd,cmt-lta-bmms-uat-bastion-01
bmms-sls,Microsoft.Network/virtualNetworks,azurefirewalleffect,/providers/microsoft.authorization/policydefinitions/fc5e4038-4584-4632-8c85-c0448d374b2c,bmms-sls-vnet
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,guestattestationextensionshouldbeinstalledonsupportedlinuxvirtualmachinesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/672fe5a1-2fcd-42d7-b85d-902b6e28c6ff,vm-linux-deployment
rgrp-lta-bmms-uat-03,Microsoft.Network/virtualNetworks,vnetenableddosprotectionmonitoring,/providers/microsoft.authorization/policydefinitions/a7aca53f-2ed4-4466-a25e-0b45ade68efd,cmt-lta-bmms-uat-application-01
rgrp-lta-bmms-uat-02,Microsoft.Network/virtualNetworks,vnetenableddosprotectionmonitoring,/providers/microsoft.authorization/policydefinitions/a7aca53f-2ed4-4466-a25e-0b45ade68efd,cmt-lta-bmms-uat-intranet-01
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,linuxguestconfigbaselinesmonitoring,/providers/microsoft.authorization/policydefinitions/fc9b3da7-8347-4380-8e70-0a0361d8dedd,vm-linux-deployment
rgrp-lta-bmms-uat-01,Microsoft.Network/virtualNetworks,vnetenableddosprotectionmonitoring,/providers/microsoft.authorization/policydefinitions/a7aca53f-2ed4-4466-a25e-0b45ade68efd,cmt-lta-bmms-uat-internet-01
rgrp-lta-bmms-uat-04,Microsoft.KeyVault/vaults,diagnosticslogsinkeyvaultmonitoring,/providers/microsoft.authorization/policydefinitions/cf820ca0-f99e-4f3e-84fb-66e913812d21,kvltabmmsuatocp4x0f48
bmms-dev,Microsoft.Logic/workflows,diagnosticslogsinlogicappsmonitoring,/providers/microsoft.authorization/policydefinitions/34f95f76-5386-4de7-b824-0d8478470c9d,startconsolevmonweekday
bmms-sls,Microsoft.Logic/workflows,diagnosticslogsinlogicappsmonitoring,/providers/microsoft.authorization/policydefinitions/34f95f76-5386-4de7-b824-0d8478470c9d,bmms_sls_bastion_deallocated
bmms-sls,Microsoft.Logic/workflows,diagnosticslogsinlogicappsmonitoring,/providers/microsoft.authorization/policydefinitions/34f95f76-5386-4de7-b824-0d8478470c9d,bmms-sls-windows-deallocate
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,gclinuxdiskencryptionmonitoring,/providers/microsoft.authorization/policydefinitions/ca88aadc-6e2b-416c-9de2-5a0f01d1693f,vm-linux-deployment
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,gclinuxdiskencryptionmonitoring,/providers/microsoft.authorization/policydefinitions/ca88aadc-6e2b-416c-9de2-5a0f01d1693f,vmuataaccocpw03-dqrb2
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,authenticationtolinuxmachinesshouldrequiresshkeysmonitoringeffect,/providers/microsoft.authorization/policydefinitions/630c64f9-8b6b-4c64-b511-6544ceff6fd6,vmuataaccocpw03-dqrb2
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,linuxguestconfigbaselinesmonitoring,/providers/microsoft.authorization/policydefinitions/fc9b3da7-8347-4380-8e70-0a0361d8dedd,vmuataaccocpw03-dqrb2
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,azurebackupshouldbeenabledforvirtualmachinesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/013e242c-8828-4970-87b3-ab247555486d,vm-linux-deployment
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,linuxguestconfigbaselinesmonitoring,/providers/microsoft.authorization/policydefinitions/fc9b3da7-8347-4380-8e70-0a0361d8dedd,vmuataaccocpw02-w7kdb
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,linuxvirtualmachineshouldusesignedandtrustedbootcomponenteffect,/providers/microsoft.authorization/policydefinitions/13a6c84f-49a5-410a-b5df-5b880c3fe009,vm-linux-deployment
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,gcextonvmmonitoring,/providers/microsoft.authorization/policydefinitions/ae89ebca-1c92-4898-ac2c-9f63decb045c,vm-linux-deployment
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,gclinuxdiskencryptionmonitoring,/providers/microsoft.authorization/policydefinitions/ca88aadc-6e2b-416c-9de2-5a0f01d1693f,vmuataaccocpw02-w7kdb
rgrp-lta-bmms-uat-05,Microsoft.Compute/virtualMachines,azurebackupshouldbeenabledforvirtualmachinesmonitoringeffect,/providers/microsoft.authorization/policydefinitions/013e242c-8828-4970-87b3-ab247555486d,vmuataaccocpw03-dqrb2
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,restrictaccesstomanagementportsmonitoring,/providers/microsoft.authorization/policydefinitions/22730e10-96f6-4aac-ad84-9383d35b5917,vm-linux-deployment
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,serversqldbvulnerabilityassesmentmonitoring,/providers/microsoft.authorization/policydefinitions/6ba6d016-e7c3-4842-b8f2-4992ebc0d72d,vm-linux-deployment
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,nextgenerationfirewallmonitoring,/providers/microsoft.authorization/policydefinitions/9daedab3-fb2d-461e-b861-71790eead4f6,vm-linux-deployment
rgrp-lta-bmms-uat-deployment,Microsoft.Compute/virtualMachines,jitnetworkaccessmonitoring,/providers/microsoft.authorization/policydefinitions/b0f33259-77d7-4c9e-aac6-3aabcfae693c,vm-linux-deployment
